Transactions,item1,item2,item3,item4,item5,item6,item7
125,corned beef,peppers,bourbon,crackers,chicken,soda,ice cream
126,herring,corned beef,olives,ham,turkey,crackers,steak
127,olives,bourbon,Coke,turkey,ice cream,peppers,chicken
128,soda,olives,bourbon,crackers,Heineken,Coke,chicken
129,olives,bourbon,Coke,turkey,ice cream,peppers,avocado
130,avocado,crackers,artichoke,Heineken,ham,chicken,corned beef
131,baguette,soda,herring,crackers,Heineken,avocado,chicken
132,herring,corned beef,olives,ham,turkey,apples,steak
133,soda,olives,bourbon,crackers,Heineken,ham,herring
134,baguette,herring,avocado,artichoke,Heineken,apples,turkey
135,sardines,Heineken,chicken,Coke,ice cream,herring,peppers
136,olives,bourbon,Coke,turkey,ice cream,crackers,baguette
137,herring,corned beef,olives,ham,turkey,chicken,ice cream
138,sardines,Heineken,chicken,Coke,ice cream,turkey,ham
139,avocado,crackers,artichoke,Heineken,ham,chicken,corned beef
140,baguette,herring,avocado,artichoke,Heineken,chicken,peppers
141,soda,olives,bourbon,crackers,Heineken,Bordeaux,avocado
142,sardines,Heineken,chicken,Coke,ice cream,apples,soda
143,avocado,crackers,artichoke,Heineken,ham,Bordeaux,Coke
144,baguette,herring,avocado,artichoke,Heineken,bourbon,apples
145,herring,corned beef,olives,ham,turkey,Coke,Heineken
146,avocado,crackers,artichoke,Heineken,ham,olives,chicken
147,soda,olives,bourbon,crackers,Heineken,apples,corned beef
148,olives,bourbon,Coke,turkey,ice cream,Bordeaux,soda
149,avocado,crackers,artichoke,Heineken,ham,steak,chicken
150,herring,corned beef,olives,ham,turkey,soda,crackers
151,corned beef,peppers,bourbon,crackers,chicken,steak,apples
152,baguette,soda,herring,crackers,Heineken,avocado,turkey
153,olives,bourbon,Coke,turkey,ice cream,artichoke,apples
154,baguette,sardines,apples,peppers,avocado,steak,turkey
155,corned beef,peppers,bourbon,crackers,chicken,sardines,olives
156,baguette,herring,avocado,artichoke,Heineken,olives,bourbon
157,avocado,crackers,artichoke,Heineken,ham,turkey,ice cream
158,corned beef,peppers,bourbon,crackers,chicken,herring,sardines
159,herring,corned beef,olives,ham,turkey,artichoke,chicken
160,herring,corned beef,apples,olives,steak,peppers,peppers
161,baguette,sardines,apples,peppers,avocado,olives,artichoke
162,baguette,herring,avocado,artichoke,Heineken,chicken,bourbon
163,baguette,sardines,apples,peppers,avocado,ham,Coke
164,sardines,Heineken,chicken,Coke,ice cream,bourbon,avocado
165,avocado,crackers,artichoke,Heineken,ham,Bordeaux,chicken
166,herring,corned beef,olives,ham,turkey,soda,peppers
167,corned beef,peppers,bourbon,crackers,chicken,herring,soda
168,herring,corned beef,olives,ham,turkey,ice cream,sardines
169,avocado,crackers,artichoke,Heineken,ham,bourbon,soda
170,avocado,crackers,artichoke,Heineken,ham,sardines,peppers
171,corned beef,peppers,bourbon,crackers,chicken,Heineken,ham
172,baguette,herring,avocado,artichoke,Heineken,olives,peppers
173,soda,olives,bourbon,crackers,Heineken,corned beef,baguette
174,olives,bourbon,Coke,turkey,ice cream,steak,Heineken
175,baguette,soda,herring,crackers,Heineken,bourbon,corned beef
176,sardines,Heineken,chicken,Coke,ice cream,crackers,ham
177,herring,corned beef,apples,olives,steak,avocado,avocado
178,corned beef,peppers,bourbon,crackers,chicken,ham,herring
179,baguette,soda,herring,crackers,Heineken,olives,ice cream
180,olives,bourbon,Coke,turkey,ice cream,peppers,steak
181,herring,corned beef,apples,olives,steak,bourbon,Heineken
182,baguette,sardines,apples,peppers,avocado,crackers,olives
183,corned beef,peppers,bourbon,crackers,chicken,turkey,apples
184,avocado,crackers,artichoke,Heineken,ham,steak,soda
185,herring,corned beef,olives,ham,turkey,baguette,Heineken
186,avocado,crackers,artichoke,Heineken,ham,apples,chicken
187,baguette,soda,herring,crackers,Heineken,Bordeaux,Coke
188,sardines,Heineken,chicken,Coke,ice cream,herring,bourbon
189,sardines,Heineken,chicken,Coke,ice cream,herring,apples
190,olives,bourbon,Coke,turkey,ice cream,crackers,steak
191,herring,corned beef,apples,olives,steak,bourbon,peppers
192,avocado,crackers,artichoke,Heineken,ham,bourbon,herring
193,baguette,herring,avocado,artichoke,Heineken,Bordeaux,sardines
194,olives,bourbon,Coke,turkey,ice cream,Bordeaux,Heineken
195,herring,corned beef,olives,ham,turkey,ice cream,soda
196,herring,corned beef,apples,olives,steak,Heineken,ham
197,olives,bourbon,Coke,turkey,ice cream,peppers,artichoke
198,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,olives
199,olives,bourbon,Coke,turkey,ice cream,Heineken,crackers
200,corned beef,peppers,bourbon,crackers,chicken,ham,soda
201,baguette,herring,avocado,artichoke,Heineken,steak,sardines
202,herring,corned beef,apples,olives,steak,chicken,Coke
203,baguette,sardines,apples,peppers,avocado,Heineken,ice cream
204,herring,corned beef,olives,ham,turkey,avocado,steak
205,avocado,crackers,artichoke,Heineken,ham,ice cream,sardines
206,herring,corned beef,apples,olives,steak,sardines,bourbon
207,baguette,sardines,apples,peppers,avocado,steak,ice cream
208,avocado,crackers,artichoke,Heineken,ham,sardines,corned beef
209,corned beef,peppers,bourbon,crackers,chicken,Coke,herring
210,baguette,sardines,apples,peppers,avocado,corned beef,soda
211,avocado,crackers,artichoke,Heineken,ham,soda,Coke
212,baguette,herring,avocado,artichoke,Heineken,soda,ice cream
213,baguette,herring,avocado,artichoke,Heineken,chicken,Coke
214,sardines,Heineken,chicken,Coke,ice cream,artichoke,baguette
215,olives,bourbon,Coke,turkey,ice cream,Heineken,baguette
216,herring,corned beef,apples,olives,steak,crackers,chicken
217,baguette,herring,avocado,artichoke,Heineken,apples,peppers
218,herring,corned beef,apples,olives,steak,ham,Heineken
219,herring,corned beef,apples,olives,steak,Bordeaux,avocado
220,sardines,Heineken,chicken,Coke,ice cream,olives,soda
221,soda,olives,bourbon,crackers,Heineken,turkey,steak
222,soda,olives,bourbon,crackers,Heineken,turkey,corned beef
223,herring,corned beef,apples,olives,steak,sardines,ice cream
224,soda,olives,bourbon,crackers,Heineken,sardines,chicken
225,sardines,Heineken,chicken,Coke,ice cream,apples,artichoke
226,corned beef,peppers,bourbon,crackers,chicken,turkey,apples
227,olives,bourbon,Coke,turkey,ice cream,ham,baguette
228,baguette,soda,herring,crackers,Heineken,turkey,turkey
229,olives,bourbon,Coke,turkey,ice cream,artichoke,apples
230,avocado,crackers,artichoke,Heineken,ham,turkey,olives
231,herring,corned beef,apples,olives,steak,avocado,bourbon
232,baguette,herring,avocado,artichoke,Heineken,soda,olives
233,herring,corned beef,apples,olives,steak,peppers,peppers
234,herring,corned beef,apples,olives,steak,artichoke,avocado
235,baguette,herring,avocado,artichoke,Heineken,crackers,apples
236,avocado,crackers,artichoke,Heineken,ham,Bordeaux,steak
237,baguette,herring,avocado,artichoke,Heineken,bourbon,ham
238,avocado,crackers,artichoke,Heineken,ham,bourbon,apples
239,herring,corned beef,apples,olives,steak,baguette,bourbon
240,baguette,sardines,apples,peppers,avocado,olives,crackers
241,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
242,sardines,Heineken,chicken,Coke,ice cream,peppers,bourbon
243,sardines,Heineken,chicken,Coke,ice cream,herring,apples
244,avocado,crackers,artichoke,Heineken,ham,apples,ice cream
245,sardines,Heineken,chicken,Coke,ice cream,bourbon,artichoke
246,olives,bourbon,Coke,turkey,ice cream,baguette,steak
247,olives,bourbon,Coke,turkey,ice cream,crackers,chicken
248,baguette,herring,avocado,artichoke,Heineken,steak,corned beef
249,sardines,Heineken,chicken,Coke,ice cream,apples,turkey
250,olives,bourbon,Coke,turkey,ice cream,soda,sardines
251,herring,corned beef,apples,olives,steak,Bordeaux,artichoke
252,avocado,crackers,artichoke,Heineken,ham,corned beef,chicken
253,baguette,soda,herring,crackers,Heineken,avocado,artichoke
254,olives,bourbon,Coke,turkey,ice cream,Bordeaux,ham
255,avocado,crackers,artichoke,Heineken,ham,herring,ice cream
256,sardines,Heineken,chicken,Coke,ice cream,artichoke,steak
257,soda,olives,bourbon,crackers,Heineken,chicken,herring
258,baguette,herring,avocado,artichoke,Heineken,Bordeaux,soda
259,soda,olives,bourbon,crackers,Heineken,avocado,avocado
260,baguette,sardines,apples,peppers,avocado,bourbon,artichoke
261,sardines,Heineken,chicken,Coke,ice cream,herring,ham
262,baguette,sardines,apples,peppers,avocado,artichoke,soda
263,herring,corned beef,olives,ham,turkey,bourbon,peppers
264,corned beef,peppers,bourbon,crackers,chicken,baguette,Heineken
265,herring,corned beef,olives,ham,turkey,Heineken,bourbon
266,soda,olives,bourbon,crackers,Heineken,peppers,avocado
267,baguette,soda,herring,crackers,Heineken,artichoke,avocado
268,sardines,Heineken,chicken,Coke,ice cream,bourbon,corned beef
269,olives,bourbon,Coke,turkey,ice cream,apples,peppers
270,baguette,sardines,apples,peppers,avocado,corned beef,crackers
271,avocado,crackers,artichoke,Heineken,ham,steak,corned beef
272,soda,olives,bourbon,crackers,Heineken,steak,ice cream
273,avocado,crackers,artichoke,Heineken,ham,soda,steak
274,soda,olives,bourbon,crackers,Heineken,ham,baguette
275,baguette,sardines,apples,peppers,avocado,crackers,steak
276,soda,olives,bourbon,crackers,Heineken,steak,steak
277,herring,corned beef,apples,olives,steak,ice cream,Coke
278,corned beef,peppers,bourbon,crackers,chicken,ham,Heineken
279,sardines,Heineken,chicken,Coke,ice cream,crackers,soda
280,herring,corned beef,olives,ham,turkey,chicken,Coke
281,baguette,sardines,apples,peppers,avocado,steak,crackers
282,herring,corned beef,apples,olives,steak,artichoke,artichoke
283,herring,corned beef,apples,olives,steak,Bordeaux,ham
284,olives,bourbon,Coke,turkey,ice cream,sardines,Heineken
285,avocado,crackers,artichoke,Heineken,ham,Bordeaux,chicken
286,olives,bourbon,Coke,turkey,ice cream,apples,baguette
287,herring,corned beef,olives,ham,turkey,avocado,Heineken
288,baguette,soda,herring,crackers,Heineken,peppers,avocado
289,herring,corned beef,apples,olives,steak,ham,baguette
290,herring,corned beef,apples,olives,steak,soda,baguette
291,soda,olives,bourbon,crackers,Heineken,chicken,apples
292,herring,corned beef,olives,ham,turkey,baguette,soda
293,baguette,soda,herring,crackers,Heineken,ice cream,avocado
294,baguette,herring,avocado,artichoke,Heineken,ice cream,ham
295,corned beef,peppers,bourbon,crackers,chicken,steak,ham
296,baguette,sardines,apples,peppers,avocado,bourbon,artichoke
297,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,corned beef
298,herring,corned beef,apples,olives,steak,avocado,artichoke
299,baguette,herring,avocado,artichoke,Heineken,chicken,turkey
300,sardines,Heineken,chicken,Coke,ice cream,steak,herring
301,baguette,sardines,apples,peppers,avocado,corned beef,steak
302,baguette,soda,herring,crackers,Heineken,bourbon,sardines
303,corned beef,peppers,bourbon,crackers,chicken,apples,Heineken
304,herring,corned beef,olives,ham,turkey,peppers,crackers
305,herring,corned beef,apples,olives,steak,Bordeaux,Coke
306,herring,corned beef,apples,olives,steak,soda,artichoke
307,sardines,Heineken,chicken,Coke,ice cream,herring,crackers
308,corned beef,peppers,bourbon,crackers,chicken,sardines,ham
309,baguette,soda,herring,crackers,Heineken,turkey,steak
310,herring,corned beef,olives,ham,turkey,Coke,sardines
311,baguette,soda,herring,crackers,Heineken,apples,ham
312,baguette,sardines,apples,peppers,avocado,soda,chicken
313,herring,corned beef,apples,olives,steak,Heineken,sardines
314,herring,corned beef,apples,olives,steak,turkey,Coke
315,herring,corned beef,olives,ham,turkey,apples,steak
316,olives,bourbon,Coke,turkey,ice cream,ham,corned beef
317,olives,bourbon,Coke,turkey,ice cream,Heineken,baguette
318,herring,corned beef,olives,ham,turkey,crackers,avocado
319,baguette,herring,avocado,artichoke,Heineken,peppers,steak
320,corned beef,peppers,bourbon,crackers,chicken,olives,turkey
321,baguette,sardines,apples,peppers,avocado,Bordeaux,Heineken
322,herring,corned beef,olives,ham,turkey,steak,steak
323,baguette,soda,herring,crackers,Heineken,peppers,peppers
324,sardines,Heineken,chicken,Coke,ice cream,ham,bourbon
325,sardines,Heineken,chicken,Coke,ice cream,soda,avocado
326,corned beef,peppers,bourbon,crackers,chicken,turkey,Coke
327,soda,olives,bourbon,crackers,Heineken,corned beef,peppers
328,soda,olives,bourbon,crackers,Heineken,Bordeaux,artichoke
329,avocado,crackers,artichoke,Heineken,ham,Coke,ice cream
330,herring,corned beef,olives,ham,turkey,soda,apples
331,corned beef,peppers,bourbon,crackers,chicken,Heineken,apples
332,baguette,soda,herring,crackers,Heineken,chicken,olives
333,baguette,soda,herring,crackers,Heineken,turkey,sardines
334,olives,bourbon,Coke,turkey,ice cream,crackers,Heineken
335,soda,olives,bourbon,crackers,Heineken,Bordeaux,chicken
336,baguette,herring,avocado,artichoke,Heineken,corned beef,apples
337,sardines,Heineken,chicken,Coke,ice cream,corned beef,olives
338,corned beef,peppers,bourbon,crackers,chicken,baguette,ham
339,herring,corned beef,olives,ham,turkey,steak,chicken
340,sardines,Heineken,chicken,Coke,ice cream,avocado,ham
341,olives,bourbon,Coke,turkey,ice cream,peppers,herring
342,soda,olives,bourbon,crackers,Heineken,herring,apples
343,herring,corned beef,apples,olives,steak,crackers,ice cream
344,baguette,soda,herring,crackers,Heineken,peppers,ice cream
345,baguette,soda,herring,crackers,Heineken,Coke,olives
346,corned beef,peppers,bourbon,crackers,chicken,ham,Heineken
347,baguette,sardines,apples,peppers,avocado,olives,Heineken
348,olives,bourbon,Coke,turkey,ice cream,corned beef,sardines
349,sardines,Heineken,chicken,Coke,ice cream,soda,bourbon
350,baguette,soda,herring,crackers,Heineken,corned beef,ham
351,soda,olives,bourbon,crackers,Heineken,steak,herring
352,baguette,soda,herring,crackers,Heineken,corned beef,sardines
353,avocado,crackers,artichoke,Heineken,ham,bourbon,peppers
354,soda,olives,bourbon,crackers,Heineken,apples,sardines
355,baguette,herring,avocado,artichoke,Heineken,bourbon,bourbon
356,baguette,herring,avocado,artichoke,Heineken,sardines,corned beef
357,herring,corned beef,olives,ham,turkey,artichoke,crackers
358,baguette,herring,avocado,artichoke,Heineken,olives,corned beef
359,corned beef,peppers,bourbon,crackers,chicken,olives,ham
360,avocado,crackers,artichoke,Heineken,ham,baguette,corned beef
361,herring,corned beef,apples,olives,steak,crackers,Coke
362,baguette,herring,avocado,artichoke,Heineken,bourbon,corned beef
363,baguette,sardines,apples,peppers,avocado,turkey,turkey
364,corned beef,peppers,bourbon,crackers,chicken,olives,olives
365,corned beef,peppers,bourbon,crackers,chicken,olives,ice cream
366,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,baguette
367,herring,corned beef,apples,olives,steak,ham,avocado
368,herring,corned beef,olives,ham,turkey,soda,steak
369,baguette,herring,avocado,artichoke,Heineken,bourbon,turkey
370,baguette,soda,herring,crackers,Heineken,ice cream,steak
371,soda,olives,bourbon,crackers,Heineken,Bordeaux,baguette
372,sardines,Heineken,chicken,Coke,ice cream,turkey,ham
373,olives,bourbon,Coke,turkey,ice cream,peppers,chicken
374,baguette,soda,herring,crackers,Heineken,olives,olives
375,herring,corned beef,apples,olives,steak,Coke,crackers
376,avocado,crackers,artichoke,Heineken,ham,soda,peppers
377,baguette,herring,avocado,artichoke,Heineken,turkey,bourbon
378,avocado,crackers,artichoke,Heineken,ham,sardines,turkey
379,baguette,herring,avocado,artichoke,Heineken,Bordeaux,soda
380,herring,corned beef,olives,ham,turkey,Heineken,Heineken
381,baguette,sardines,apples,peppers,avocado,Bordeaux,Coke
382,soda,olives,bourbon,crackers,Heineken,turkey,chicken
383,corned beef,peppers,bourbon,crackers,chicken,ham,avocado
384,baguette,sardines,apples,peppers,avocado,soda,steak
385,avocado,crackers,artichoke,Heineken,ham,apples,soda
386,herring,corned beef,olives,ham,turkey,baguette,ice cream
387,herring,corned beef,olives,ham,turkey,soda,avocado
388,sardines,Heineken,chicken,Coke,ice cream,crackers,peppers
389,herring,corned beef,olives,ham,turkey,peppers,avocado
390,baguette,soda,herring,crackers,Heineken,peppers,apples
391,olives,bourbon,Coke,turkey,ice cream,ham,baguette
392,baguette,sardines,apples,peppers,avocado,olives,ice cream
393,baguette,herring,avocado,artichoke,Heineken,peppers,ham
394,baguette,soda,herring,crackers,Heineken,bourbon,corned beef
395,avocado,crackers,artichoke,Heineken,ham,chicken,soda
396,baguette,soda,herring,crackers,Heineken,peppers,bourbon
397,baguette,sardines,apples,peppers,avocado,Bordeaux,Coke
398,herring,corned beef,olives,ham,turkey,Bordeaux,peppers
399,soda,olives,bourbon,crackers,Heineken,Coke,corned beef
400,avocado,crackers,artichoke,Heineken,ham,ice cream,bourbon
401,soda,olives,bourbon,crackers,Heineken,corned beef,ham
402,soda,olives,bourbon,crackers,Heineken,herring,Coke
403,herring,corned beef,olives,ham,turkey,Bordeaux,ice cream
404,baguette,sardines,apples,peppers,avocado,Heineken,corned beef
405,corned beef,peppers,bourbon,crackers,chicken,Heineken,apples
406,baguette,herring,avocado,artichoke,Heineken,steak,apples
407,soda,olives,bourbon,crackers,Heineken,steak,artichoke
408,baguette,herring,avocado,artichoke,Heineken,steak,turkey
409,corned beef,peppers,bourbon,crackers,chicken,ice cream,apples
410,baguette,sardines,apples,peppers,avocado,herring,crackers
411,baguette,soda,herring,crackers,Heineken,steak,steak
412,baguette,herring,avocado,artichoke,Heineken,Coke,turkey
413,baguette,herring,avocado,artichoke,Heineken,soda,olives
414,corned beef,peppers,bourbon,crackers,chicken,apples,steak
415,herring,corned beef,olives,ham,turkey,steak,sardines
416,avocado,crackers,artichoke,Heineken,ham,olives,ice cream
417,herring,corned beef,olives,ham,turkey,crackers,avocado
418,olives,bourbon,Coke,turkey,ice cream,herring,Heineken
419,herring,corned beef,apples,olives,steak,bourbon,chicken
420,baguette,soda,herring,crackers,Heineken,apples,Coke
421,sardines,Heineken,chicken,Coke,ice cream,baguette,turkey
422,corned beef,peppers,bourbon,crackers,chicken,Heineken,artichoke
423,baguette,soda,herring,crackers,Heineken,apples,sardines
424,herring,corned beef,olives,ham,turkey,artichoke,avocado
425,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,herring
426,baguette,sardines,apples,peppers,avocado,soda,ice cream
427,baguette,soda,herring,crackers,Heineken,artichoke,apples
428,avocado,crackers,artichoke,Heineken,ham,herring,turkey
429,herring,corned beef,apples,olives,steak,chicken,soda
430,avocado,crackers,artichoke,Heineken,ham,Coke,soda
431,herring,corned beef,olives,ham,turkey,avocado,soda
432,soda,olives,bourbon,crackers,Heineken,chicken,apples
433,baguette,herring,avocado,artichoke,Heineken,sardines,peppers
434,sardines,Heineken,chicken,Coke,ice cream,crackers,baguette
435,sardines,Heineken,chicken,Coke,ice cream,corned beef,bourbon
436,olives,bourbon,Coke,turkey,ice cream,peppers,apples
437,avocado,crackers,artichoke,Heineken,ham,ice cream,bourbon
438,baguette,soda,herring,crackers,Heineken,avocado,peppers
439,sardines,Heineken,chicken,Coke,ice cream,peppers,peppers
440,avocado,crackers,artichoke,Heineken,ham,corned beef,chicken
441,corned beef,peppers,bourbon,crackers,chicken,baguette,steak
442,baguette,soda,herring,crackers,Heineken,bourbon,peppers
443,baguette,herring,avocado,artichoke,Heineken,turkey,apples
444,olives,bourbon,Coke,turkey,ice cream,steak,chicken
445,baguette,herring,avocado,artichoke,Heineken,ham,bourbon
446,baguette,soda,herring,crackers,Heineken,ham,apples
447,avocado,crackers,artichoke,Heineken,ham,Bordeaux,soda
448,herring,corned beef,apples,olives,steak,soda,Coke
449,baguette,soda,herring,crackers,Heineken,avocado,bourbon
450,sardines,Heineken,chicken,Coke,ice cream,artichoke,baguette
451,soda,olives,bourbon,crackers,Heineken,corned beef,artichoke
452,baguette,soda,herring,crackers,Heineken,corned beef,olives
453,avocado,crackers,artichoke,Heineken,ham,Coke,ice cream
454,olives,bourbon,Coke,turkey,ice cream,Bordeaux,apples
455,sardines,Heineken,chicken,Coke,ice cream,ham,peppers
456,baguette,herring,avocado,artichoke,Heineken,sardines,apples
457,avocado,crackers,artichoke,Heineken,ham,steak,steak
458,sardines,Heineken,chicken,Coke,ice cream,turkey,bourbon
459,olives,bourbon,Coke,turkey,ice cream,artichoke,Heineken
460,soda,olives,bourbon,crackers,Heineken,chicken,baguette
461,sardines,Heineken,chicken,Coke,ice cream,apples,crackers
462,baguette,sardines,apples,peppers,avocado,Heineken,corned beef
463,baguette,soda,herring,crackers,Heineken,ham,sardines
